"id","answer","query","d1A","d2A","d3A","d4A","d5A","d1B","d2B","d3B","d4B","d5B","DCGlzA","DCGlzB","DCGll2A","DCGll2B","DCGll3A","DCGll3B","DCGll5A","DCGll5B","DCGllA","DCGllB","DCGlnA","DCGlnB","DCGe2zA","DCGe2zB","DCGe2l2A","DCGe2l2B","DCGe2l3A","DCGe2l3B","DCGe2l5A","DCGe2l5B","DCGe2lA","DCGe2lB","DCGe2nA","DCGe2nB","DCGe3zA","DCGe3zB","DCGe3l2A","DCGe3l2B","DCGe3l3A","DCGe3l3B","DCGe3l5A","DCGe3l5B","DCGe3lA","DCGe3lB","DCGe3nA","DCGe3nB","DCGe5zA","DCGe5zB","DCGe5l2A","DCGe5l2B","DCGe5l3A","DCGe5l3B","DCGe5l5A","DCGe5l5B","DCGe5lA","DCGe5lB","DCGe5nA","DCGe5nB","DCGb1zA","DCGb1zB","DCGb1l2A","DCGb1l2B","DCGb1l3A","DCGb1l3B","DCGb1l5A","DCGb1l5B","DCGb1lA","DCGb1lB","DCGb1nA","DCGb1nB","DCGb2zA","DCGb2zB","DCGb2l2A","DCGb2l2B","DCGb2l3A","DCGb2l3B","DCGb2l5A","DCGb2l5B","DCGb2lA","DCGb2lB","DCGb2nA","DCGb2nB","comments"
949,"a","e014772","e012076","e017889","b002037","b009229","b000666","e013691","e018734","e012564","e004037","b012085",0.5,0.456,0.5,0.434,0.5,0.423,0.5,0.413,0.5,0.467,0.5,0.4,0.333,0.304,0.333,0.29,0.333,0.282,0.333,0.276,0.333,0.311,0.333,0.267,0.25,0.228,0.25,0.217,0.25,0.211,0.25,0.207,0.25,0.233,0.25,0.2,0.167,0.152,0.167,0.145,0.167,0.141,0.167,0.138,0.167,0.156,0.167,0.133,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,""
950,"good","e012084","e003150","b007001","e009515","e002580","e014052","e003526","b013939","e003068","e001876","e005693",0.544,0.708,0.566,0.662,0.577,0.63,0.587,0.613,0.533,0.633,0.6,0.6,0.392,0.647,0.421,0.598,0.436,0.563,0.449,0.545,0.378,0.556,0.467,0.533,0.316,0.617,0.348,0.566,0.366,0.529,0.38,0.511,0.3,0.517,0.4,0.5,0.24,0.586,0.276,0.534,0.295,0.496,0.311,0.477,0.222,0.478,0.333,0.467,1,0.891,1,0.854,1,0.832,1,0.817,1,0.867,1,0.8,0.088,0.526,0.131,0.47,0.155,0.428,0.173,0.409,0.067,0.4,0.2,0.4,""
951,"a","d008942","d019208","d008643","d013586","d014025","d000877","e009801","b015640","b000640","e001198","e013756",0.901,0,0.861,0,0.839,0,0.822,0,0.9,0,0.8,0,0.869,0,0.815,0,0.785,0,0.763,0,0.867,0,0.733,0,0.852,0,0.792,0,0.758,0,0.733,0,0.85,0,0.7,0,0.836,0,0.769,0,0.731,0,0.703,0,0.833,0,0.667,0,1,0,1,0,1,0,1,0,1,0,1,0,0.803,0,0.723,0,0.678,0,0.644,0,0.8,0,0.6,0,""
952,"a","b005863","b015857","b004393","e001895","b019934","a006651","b001922","b015640","b001893","d017361","d002545",0.128,0.511,0.158,0.424,0.177,0.367,0.189,0.334,0.167,0.433,0.2,0.3,0.085,0.487,0.105,0.396,0.118,0.336,0.126,0.301,0.111,0.4,0.133,0.267,0.064,0.474,0.079,0.382,0.089,0.32,0.095,0.285,0.083,0.383,0.1,0.25,0.043,0.462,0.053,0.367,0.059,0.305,0.063,0.269,0.056,0.367,0.067,0.233,0.255,0.584,0.316,0.509,0.355,0.461,0.378,0.432,0.333,0.533,0.4,0.4,0,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,""
953,"bad","b001840","b018075","b005105","e016215","a005422","d008733","b005373","e019097","a006227","e015335","a005142",0.219,0,0.17,0,0.137,0,0.118,0,0.167,0,0.1,0,0.146,0,0.113,0,0.091,0,0.079,0,0.111,0,0.067,0,0.109,0,0.085,0,0.068,0,0.059,0,0.083,0,0.05,0,0.073,0,0.057,0,0.046,0,0.039,0,0.056,0,0.033,0,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
954,"bad","e012895","b010817","b006627","b010900","e007763","e010865","b017570","a004973","e003335","b010900","e016209",0,0.161,0,0.216,0,0.248,0,0.271,0,0.167,0,0.3,0,0.136,0,0.188,0,0.217,0,0.238,0,0.133,0,0.267,0,0.124,0,0.174,0,0.201,0,0.222,0,0.117,0,0.25,0,0.112,0,0.159,0,0.186,0,0.206,0,0.1,0,0.233,0,0.234,0,0.301,0,0.341,0,0.369,0,0.267,0,0.4,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,""
955,"bad","e003544","e000402","d006781","d008733","e007807","e007368","b019571","e013794","d007374","a006409","a001095",0.536,0,0.478,0,0.435,0,0.414,0,0.433,0,0.4,0,0.504,0,0.432,0,0.381,0,0.355,0,0.4,0,0.333,0,0.487,0,0.408,0,0.354,0,0.325,0,0.383,0,0.3,0,0.471,0,0.385,0,0.327,0,0.296,0,0.367,0,0.267,0,0.635,0,0.616,0,0.596,0,0.592,0,0.533,0,0.6,0,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,0,""
956,"good","d018533","d017361","d005723","d009843","d002361","d014177","d008795","d011871","d017206","d016115","e017379",0.5,0.839,0.5,0.784,0.5,0.752,0.5,0.729,0.5,0.833,0.5,0.7,0.333,0.815,0.333,0.756,0.333,0.721,0.333,0.697,0.333,0.8,0.333,0.667,0.25,0.803,0.25,0.742,0.25,0.705,0.25,0.68,0.25,0.783,0.25,0.65,0.167,0.791,0.167,0.727,0.167,0.69,0.167,0.664,0.167,0.767,0.167,0.633,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,0,0.766,0,0.699,0,0.659,0,0.631,0,0.733,0,0.6,""
957,"a","b000979","b008939","b013379","b016448","b014660","a002448","b008046","a003208","e010841","b006631","b005361",0.839,0.219,0.784,0.17,0.752,0.137,0.729,0.118,0.833,0.167,0.7,0.1,0.815,0.146,0.756,0.113,0.721,0.091,0.697,0.079,0.8,0.111,0.667,0.067,0.803,0.109,0.742,0.085,0.705,0.068,0.68,0.059,0.783,0.083,0.65,0.05,0.791,0.073,0.727,0.057,0.69,0.046,0.664,0.039,0.767,0.056,0.633,0.033,0.912,0.438,0.869,0.339,0.845,0.274,0.827,0.236,0.933,0.333,0.8,0.2,0.766,0,0.699,0,0.659,0,0.631,0,0.733,0,0.6,0,""
958,"bad","e009438","e003338","a006844","a002430","b008465","b006480","b001050","f005918","b010331","e018269","e001198",0.055,0.474,0.073,0.485,0.084,0.492,0.091,0.496,0.067,0.5,0.1,0.5,0.036,0.401,0.049,0.429,0.056,0.446,0.061,0.457,0.044,0.444,0.067,0.467,0.027,0.365,0.037,0.4,0.042,0.423,0.046,0.437,0.033,0.417,0.05,0.45,0.018,0.328,0.024,0.372,0.028,0.4,0.03,0.418,0.022,0.389,0.033,0.433,0.109,0.693,0.146,0.655,0.168,0.628,0.183,0.615,0.133,0.667,0.2,0.6,0,0.255,0,0.316,0,0.355,0,0.378,0,0.333,0,0.4,""
959,"a","b009504","a004471","a006106","a009012","b007346","b008189","a004805","b005084","a009012","a006897","b007346",1,0.507,1,0.543,1,0.562,1,0.578,1,0.5,1,0.6,1,0.416,1,0.463,1,0.489,1,0.508,1,0.422,1,0.533,1,0.37,1,0.422,1,0.452,1,0.473,1,0.383,1,0.5,1,0.325,1,0.382,1,0.415,1,0.438,1,0.344,1,0.467,1,0.781,1,0.786,1,0.783,1,0.788,1,0.733,1,0.8,1,0.234,1,0.301,1,0.341,1,0.369,1,0.267,1,0.4,"more rap"
960,"a","e007772","d014940","d015836","d013842","d000567","e008934","e009861","d000567","e003270","e012069","e001198",0.117,0.299,0.15,0.381,0.171,0.432,0.184,0.465,0.133,0.367,0.2,0.5,0.078,0.285,0.1,0.359,0.114,0.406,0.123,0.436,0.089,0.356,0.133,0.467,0.058,0.277,0.075,0.348,0.085,0.393,0.092,0.422,0.067,0.35,0.1,0.45,0.039,0.27,0.05,0.338,0.057,0.38,0.061,0.407,0.044,0.344,0.067,0.433,0.234,0.343,0.301,0.447,0.341,0.509,0.369,0.551,0.267,0.4,0.4,0.6,0,0.255,0,0.316,0,0.355,0,0.378,0,0.333,0,0.4,""
961,"good","d005709","d005671","d005043","d009758","d006049","d004419","d005671","d005043","d005830","d006049","d009758",1,0.927,1,0.915,1,0.907,1,0.902,1,0.9,1,0.9,1,0.903,1,0.887,1,0.875,1,0.87,1,0.867,1,0.867,1,0.891,1,0.873,1,0.86,1,0.853,1,0.85,1,0.85,1,0.878,1,0.859,1,0.844,1,0.837,1,0.833,1,0.833,1,1,1,1,1,1,1,1,1,1,1,1,1,0.854,1,0.83,1,0.813,1,0.805,1,0.8,1,0.8,""
962,"good","e006998","e013181","e003058","e003663","e013722","e017428","e003951","e011395","e005478","e005781","e017810",0.591,0.803,0.551,0.723,0.519,0.678,0.506,0.644,0.5,0.8,0.5,0.6,0.577,0.803,0.529,0.723,0.493,0.678,0.477,0.644,0.489,0.8,0.467,0.6,0.569,0.803,0.518,0.723,0.48,0.678,0.462,0.644,0.483,0.8,0.45,0.6,0.562,0.803,0.507,0.723,0.467,0.678,0.448,0.644,0.478,0.8,0.433,0.6,0.635,0.803,0.616,0.723,0.596,0.678,0.592,0.644,0.533,0.8,0.6,0.6,0.547,0.803,0.485,0.723,0.442,0.678,0.419,0.644,0.467,0.8,0.4,0.6,""
963,"a","d009750","d014522","d000827","d000314","d006871","d008047","b009534","a006992","f012842","e010067","e012443",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,""
964,"good","d016303","d004370","b007438","d010764","b010387","d014410","d008433","d000798","d000827","d014410","d004370",0.117,0.529,0.15,0.519,0.171,0.516,0.184,0.511,0.133,0.567,0.2,0.5,0.078,0.401,0.1,0.403,0.114,0.406,0.123,0.406,0.089,0.444,0.133,0.4,0.058,0.338,0.075,0.344,0.085,0.352,0.092,0.353,0.067,0.383,0.1,0.35,0.039,0.274,0.05,0.286,0.057,0.297,0.061,0.301,0.044,0.322,0.067,0.3,0.234,0.912,0.301,0.869,0.341,0.845,0.369,0.827,0.267,0.933,0.4,0.8,0,0.146,0,0.17,0,0.187,0,0.195,0,0.2,0,0.2,""
965,"a","d014946","d004189","d004113","d002397","d008854","d000996","a007776","d017710","b001723","d012602","d012622",0.901,0.263,0.861,0.319,0.839,0.354,0.822,0.376,0.9,0.3,0.8,0.4,0.869,0.212,0.815,0.261,0.785,0.292,0.763,0.311,0.867,0.244,0.733,0.333,0.852,0.186,0.792,0.232,0.758,0.261,0.733,0.279,0.85,0.217,0.7,0.3,0.836,0.161,0.769,0.204,0.731,0.23,0.703,0.247,0.833,0.189,0.667,0.267,1,0.416,1,0.491,1,0.539,1,0.568,1,0.467,1,0.6,0.803,0.109,0.723,0.146,0.678,0.168,0.644,0.183,0.8,0.133,0.6,0.2,""
966,"bad","d011850","d004770","d002590","e003441","d014177","d015184","d011229","e001198","d012309","d002590","d011846",0.526,0.562,0.515,0.616,0.508,0.646,0.504,0.67,0.5,0.567,0.5,0.7,0.453,0.489,0.458,0.56,0.463,0.601,0.464,0.63,0.444,0.511,0.467,0.667,0.416,0.453,0.43,0.532,0.44,0.578,0.444,0.611,0.417,0.483,0.45,0.65,0.38,0.416,0.402,0.503,0.417,0.555,0.425,0.591,0.389,0.456,0.433,0.633,0.745,0.781,0.684,0.786,0.645,0.783,0.622,0.788,0.667,0.733,0.6,0.8,0.307,0.343,0.345,0.447,0.372,0.509,0.385,0.551,0.333,0.4,0.4,0.6,"BOTH ARE BAD"
967,"a","e000004","e007235","e003818","d000871","e018593","b007022","d000871","f013009","e012145","e004034","e011578",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
968,"b","e012026","e016732","e016095","d008505","d011518","e001639","e009603","e013904","e003678","e005737","e000426",0.153,0.781,0.173,0.83,0.186,0.863,0.193,0.882,0.167,0.833,0.2,0.9,0.102,0.708,0.115,0.774,0.124,0.817,0.128,0.842,0.111,0.778,0.133,0.867,0.077,0.672,0.086,0.746,0.093,0.795,0.096,0.823,0.083,0.75,0.1,0.85,0.051,0.635,0.058,0.717,0.062,0.772,0.064,0.803,0.056,0.722,0.067,0.833,0.307,1,0.345,1,0.372,1,0.385,1,0.333,1,0.4,1,0,0.562,0,0.661,0,0.726,0,0.764,0,0.667,0,0.8,""
969,"a","d000095","d005530","d005107","d017439","d001398","d010889","e009801","d012742","e008934","e013469","f012890",0.883,0,0.85,0,0.829,0,0.816,0,0.867,0,0.8,0,0.844,0,0.799,0,0.772,0,0.754,0,0.822,0,0.733,0,0.825,0,0.774,0,0.744,0,0.724,0,0.8,0,0.7,0,0.805,0,0.749,0,0.715,0,0.693,0,0.778,0,0.667,0,1,0,1,0,1,0,1,0,1,0,1,0,0.766,0,0.699,0,0.659,0,0.631,0,0.733,0,0.6,0,""
970,"bad","d018533","e013469","e017379","e008934","e009801","d006887","e008934","e009801","d015230","d000906","e013469",0.044,0.201,0.066,0.243,0.077,0.271,0.087,0.287,0.033,0.267,0.1,0.3,0.029,0.182,0.044,0.218,0.052,0.243,0.058,0.256,0.022,0.244,0.067,0.267,0.022,0.173,0.033,0.206,0.039,0.229,0.043,0.241,0.017,0.233,0.05,0.25,0.015,0.164,0.022,0.194,0.026,0.215,0.029,0.226,0.011,0.222,0.033,0.233,0.088,0.255,0.131,0.316,0.155,0.355,0.173,0.378,0.067,0.333,0.2,0.4,0,0.146,0,0.17,0,0.187,0,0.195,0,0.2,0,0.2,""
971,"a","e012084","b001305","e005693","e003068","e015628","e010546","d011848","d002197","d000702","d002055","d002389",0.883,0,0.85,0,0.829,0,0.816,0,0.867,0,0.8,0,0.844,0,0.799,0,0.772,0,0.754,0,0.822,0,0.733,0,0.825,0,0.774,0,0.744,0,0.724,0,0.8,0,0.7,0,0.805,0,0.749,0,0.715,0,0.693,0,0.778,0,0.667,0,1,0,1,0,1,0,1,0,1,0,1,0,0.766,0,0.699,0,0.659,0,0.631,0,0.733,0,0.6,0,""
972,"b","d008942","d004770","e012177","e012412","d013117","d019208","d019208","d016977","d013187","d018511","b000640",0.544,0.912,0.566,0.869,0.577,0.845,0.587,0.827,0.533,0.933,0.6,0.8,0.392,0.912,0.421,0.869,0.436,0.845,0.449,0.827,0.378,0.933,0.467,0.8,0.316,0.912,0.348,0.869,0.366,0.845,0.38,0.827,0.3,0.933,0.4,0.8,0.24,0.912,0.276,0.869,0.295,0.845,0.311,0.827,0.222,0.933,0.333,0.8,1,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,0.088,0.912,0.131,0.869,0.155,0.845,0.173,0.827,0.067,0.933,0.2,0.8,""
973,"a","e012026","e000426","e013253","a006733","e014617","e005508","b007619","d006274","e005189","d008505","e014617",1,0.197,1,0.238,1,0.263,1,0.279,1,0.2,1,0.3,1,0.161,1,0.203,1,0.227,1,0.244,1,0.156,1,0.267,1,0.142,1,0.185,1,0.209,1,0.226,1,0.133,1,0.25,1,0.124,1,0.167,1,0.191,1,0.208,1,0.111,1,0.233,1,0.307,1,0.345,1,0.372,1,0.385,1,0.333,1,0.4,1,0.088,1,0.131,1,0.155,1,0.173,1,0.067,1,0.2,""
974,"bad","d004083","e002370","b008871","b001476","b005122","d006924","b005122","b008871","d008286","e018583","e002370",0.088,0.073,0.131,0.085,0.155,0.093,0.173,0.098,0.067,0.1,0.2,0.1,0.088,0.049,0.131,0.057,0.155,0.062,0.173,0.065,0.067,0.067,0.2,0.067,0.088,0.036,0.131,0.042,0.155,0.047,0.173,0.049,0.067,0.05,0.2,0.05,0.088,0.024,0.131,0.028,0.155,0.031,0.173,0.033,0.067,0.033,0.2,0.033,0.088,0.146,0.131,0.17,0.155,0.187,0.173,0.195,0.067,0.2,0.2,0.2,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,""
975,"a","a000897","a002066","b006734","b013481","a008296","a004859","a009068","b018844","a007807","f010921","b011221",0.708,0.347,0.746,0.327,0.77,0.314,0.784,0.307,0.733,0.333,0.8,0.3,0.611,0.231,0.661,0.218,0.693,0.209,0.712,0.205,0.644,0.222,0.733,0.2,0.562,0.173,0.618,0.164,0.655,0.157,0.676,0.154,0.6,0.167,0.7,0.15,0.513,0.116,0.576,0.109,0.616,0.105,0.64,0.102,0.556,0.111,0.667,0.1,1,0.693,1,0.655,1,0.628,1,0.615,1,0.667,1,0.6,0.416,0,0.491,0,0.539,0,0.568,0,0.467,0,0.6,0,""
976,"b","f002408","b009059","a003713","b016281","b009630","b017223","b009630","b017658","b017546","b018634","b003334",0.489,0.872,0.532,0.842,0.553,0.823,0.572,0.811,0.467,0.833,0.6,0.8,0.392,0.83,0.447,0.79,0.476,0.764,0.5,0.748,0.378,0.778,0.533,0.733,0.343,0.808,0.404,0.763,0.438,0.734,0.464,0.716,0.333,0.75,0.5,0.7,0.294,0.787,0.362,0.737,0.399,0.704,0.428,0.685,0.289,0.722,0.467,0.667,0.781,1,0.786,1,0.783,1,0.788,1,0.733,1,0.8,1,0.197,0.745,0.277,0.684,0.322,0.645,0.356,0.622,0.2,0.667,0.4,0.6,""
977,"a","f003218","a006931","a008348","f008098","a003588","a000970","a002038","b019673","a004859","b003097","a009830",0.781,0,0.83,0,0.863,0,0.882,0,0.833,0,0.9,0,0.708,0,0.774,0,0.817,0,0.842,0,0.778,0,0.867,0,0.672,0,0.746,0,0.795,0,0.823,0,0.75,0,0.85,0,0.635,0,0.717,0,0.772,0,0.803,0,0.722,0,0.833,0,1,0,1,0,1,0,1,0,1,0,1,0,0.562,0,0.661,0,0.726,0,0.764,0,0.667,0,0.8,0,""
978,"b","e004743","e000772","d014830","d015717","e013469","e008934","e014356","e009749","e006732","e012897","e017379",0.635,1,0.616,1,0.596,1,0.592,1,0.533,1,0.6,1,0.635,1,0.616,1,0.596,1,0.592,1,0.533,1,0.6,1,0.635,1,0.616,1,0.596,1,0.592,1,0.533,1,0.6,1,0.635,1,0.616,1,0.596,1,0.592,1,0.533,1,0.6,1,0.635,1,0.616,1,0.596,1,0.592,1,0.533,1,0.6,1,0.635,1,0.616,1,0.596,1,0.592,1,0.533,1,0.6,1,""
979,"a","b005963","b015391","b008875","f011559","f010997","b011376","b011039","b018039","b003334","b007806","b010401",0.343,0.682,0.408,0.692,0.45,0.702,0.475,0.704,0.4,0.733,0.5,0.7,0.307,0.577,0.372,0.589,0.414,0.603,0.439,0.605,0.356,0.644,0.467,0.6,0.288,0.524,0.354,0.538,0.396,0.553,0.422,0.556,0.333,0.6,0.45,0.55,0.27,0.471,0.336,0.486,0.378,0.503,0.404,0.506,0.311,0.556,0.433,0.5,0.453,1,0.515,1,0.558,1,0.581,1,0.533,1,0.6,1,0.234,0.365,0.301,0.384,0.341,0.404,0.369,0.408,0.267,0.467,0.4,0.4,""
980,"good","d012432","d016869","d019231","d000701","e014848","d013138","d001824","d016698","d011306","d012288","d006018",0.208,0.836,0.246,0.82,0.27,0.808,0.284,0.802,0.233,0.8,0.3,0.8,0.139,0.781,0.164,0.76,0.18,0.743,0.189,0.737,0.156,0.733,0.2,0.733,0.104,0.754,0.123,0.73,0.135,0.711,0.142,0.704,0.117,0.7,0.15,0.7,0.069,0.726,0.082,0.7,0.09,0.679,0.095,0.671,0.078,0.667,0.1,0.667,0.416,1,0.491,1,0.539,1,0.568,1,0.467,1,0.6,1,0,0.672,0,0.64,0,0.615,0,0.605,0,0.6,0,0.6,""
981,"bad","b000264","b000022","b008210","e015367","b009822","a000882","b010988","b005841","e003476","e008175","b008131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
982,"a","b010640","b014389","b005780","b012076","b017554","b013729","b006870","b003933","a000544","b013379","b003825",0,0.318,0,0.308,0,0.298,0,0.296,0,0.267,0,0.3,0,0.212,0,0.205,0,0.199,0,0.197,0,0.178,0,0.2,0,0.159,0,0.154,0,0.149,0,0.148,0,0.133,0,0.15,0,0.106,0,0.103,0,0.099,0,0.099,0,0.089,0,0.1,0,0.635,0,0.616,0,0.596,0,0.592,0,0.533,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,""
983,"a","e012026","a006733","e014617","e013904","e005508","e015974","e016732","d011518","d008505","e001639","e002298",1,0.055,1,0.073,1,0.084,1,0.091,1,0.067,1,0.1,1,0.036,1,0.049,1,0.056,1,0.061,1,0.044,1,0.067,1,0.027,1,0.037,1,0.042,1,0.046,1,0.033,1,0.05,1,0.018,1,0.024,1,0.028,1,0.03,1,0.022,1,0.033,1,0.109,1,0.146,1,0.168,1,0.183,1,0.133,1,0.2,1,0,1,0,1,0,1,0,1,0,1,0,""
984,"b","e012026","e019129","e002298","e009948","d008230","e008869","a006733","e003678","e006775","e005508","e003091",0,0.883,0,0.85,0,0.829,0,0.816,0,0.867,0,0.8,0,0.844,0,0.799,0,0.772,0,0.754,0,0.822,0,0.733,0,0.825,0,0.774,0,0.744,0,0.724,0,0.8,0,0.7,0,0.805,0,0.749,0,0.715,0,0.693,0,0.778,0,0.667,0,1,0,1,0,1,0,1,0,1,0,1,0,0.766,0,0.699,0,0.659,0,0.631,0,0.733,0,0.6,""
985,"a","e012895","e018499","d007922","e015219","e012206","e013231","e012441","e008477","b010204","e010865","e008309",0.891,0.416,0.893,0.408,0.892,0.4,0.894,0.397,0.867,0.367,0.9,0.4,0.854,0.307,0.857,0.316,0.855,0.318,0.858,0.323,0.822,0.267,0.867,0.333,0.836,0.252,0.84,0.269,0.837,0.277,0.841,0.285,0.8,0.217,0.85,0.3,0.818,0.197,0.822,0.223,0.819,0.236,0.823,0.248,0.778,0.167,0.833,0.267,1,0.745,1,0.684,1,0.645,1,0.622,1,0.667,1,0.6,0.781,0.088,0.786,0.131,0.783,0.155,0.788,0.173,0.733,0.067,0.8,0.2,""
986,"good","e011855","e018912","e000030","e013857","b002037","e017399","e017399","e002663","b017639","e007259","a000507",0.781,0.745,0.83,0.723,0.863,0.705,0.882,0.698,0.833,0.667,0.9,0.7,0.708,0.708,0.774,0.688,0.817,0.668,0.842,0.663,0.778,0.622,0.867,0.667,0.672,0.69,0.746,0.67,0.795,0.65,0.823,0.645,0.75,0.6,0.85,0.65,0.635,0.672,0.717,0.652,0.772,0.632,0.803,0.628,0.722,0.578,0.833,0.633,1,0.854,1,0.83,1,0.813,1,0.805,1,0.8,1,0.8,0.562,0.635,0.661,0.616,0.726,0.596,0.764,0.592,0.667,0.533,0.8,0.6,""
987,"a","d006696","d019434","d012622","d012983","d018433","d002904","e013209","e015628","e005189","e008393","e007472",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,""
988,"bad","e009441","b008939","e001198","b014108","d002813","b011873","b019419","b017365","d016915","b005076","e005597",0.044,0.318,0.066,0.308,0.077,0.298,0.087,0.296,0.033,0.267,0.1,0.3,0.029,0.212,0.044,0.205,0.052,0.199,0.058,0.197,0.022,0.178,0.067,0.2,0.022,0.159,0.033,0.154,0.039,0.149,0.043,0.148,0.017,0.133,0.05,0.15,0.015,0.106,0.022,0.103,0.026,0.099,0.029,0.099,0.011,0.089,0.033,0.1,0.088,0.635,0.131,0.616,0.155,0.596,0.173,0.592,0.067,0.533,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,""
989,"bad","d008298","a004536","e001198","d006422","d015669","d013931","d006422","b009542","e010886","f000099","d013931",0.055,0,0.073,0,0.084,0,0.091,0,0.067,0,0.1,0,0.036,0,0.049,0,0.056,0,0.061,0,0.044,0,0.067,0,0.027,0,0.037,0,0.042,0,0.046,0,0.033,0,0.05,0,0.018,0,0.024,0,0.028,0,0.03,0,0.022,0,0.033,0,0.109,0,0.146,0,0.168,0,0.183,0,0.133,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,""
990,"bad","e007252","e013469","d010146","e011395","b016244","a009161","e012208","e001212","e006009","d004770","e012064",0,0.044,0,0.066,0,0.077,0,0.087,0,0.033,0,0.1,0,0.029,0,0.044,0,0.052,0,0.058,0,0.022,0,0.067,0,0.022,0,0.033,0,0.039,0,0.043,0,0.017,0,0.05,0,0.015,0,0.022,0,0.026,0,0.029,0,0.011,0,0.033,0,0.088,0,0.131,0,0.155,0,0.173,0,0.067,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
991,"good","d008174","d016045","d006077","d010568","d005505","d007288","d001453","e010865","d008643","d010568","d017799",1,0.781,1,0.786,1,0.783,1,0.788,1,0.733,1,0.8,1,0.781,1,0.786,1,0.783,1,0.788,1,0.733,1,0.8,1,0.781,1,0.786,1,0.783,1,0.788,1,0.733,1,0.8,1,0.781,1,0.786,1,0.783,1,0.788,1,0.733,1,0.8,1,0.781,1,0.786,1,0.783,1,0.788,1,0.733,1,0.8,1,0.781,1,0.786,1,0.783,1,0.788,1,0.733,1,0.8,""
992,"b","d007329","d010500","a002255","d008931","d001556","d016678","d019878","d017327","d009528","d016069","d016678",0.391,0.5,0.393,0.5,0.392,0.5,0.394,0.5,0.367,0.5,0.4,0.5,0.26,0.333,0.262,0.333,0.261,0.333,0.263,0.333,0.244,0.333,0.267,0.333,0.195,0.25,0.197,0.25,0.196,0.25,0.197,0.25,0.183,0.25,0.2,0.25,0.13,0.167,0.131,0.167,0.131,0.167,0.131,0.167,0.122,0.167,0.133,0.167,0.781,1,0.786,1,0.783,1,0.788,1,0.733,1,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,""
993,"bad","e018053","d014177","e009801","a005967","e017399","d004770","e003516","a000970","e015078","a009226","e015143",0.164,0.044,0.18,0.066,0.192,0.077,0.198,0.087,0.2,0.033,0.2,0.1,0.109,0.029,0.12,0.044,0.128,0.052,0.132,0.058,0.133,0.022,0.133,0.067,0.082,0.022,0.09,0.033,0.096,0.039,0.099,0.043,0.1,0.017,0.1,0.05,0.055,0.015,0.06,0.022,0.064,0.026,0.066,0.029,0.067,0.011,0.067,0.033,0.328,0.088,0.36,0.131,0.385,0.155,0.395,0.173,0.4,0.067,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
994,"bad","b005963","f010997","e015312","d012986","b000904","b003709","b016057","b003709","b010262","b003235","e015312",0.055,0.62,0.073,0.57,0.084,0.535,0.091,0.517,0.067,0.567,0.1,0.5,0.036,0.596,0.049,0.542,0.056,0.504,0.061,0.484,0.044,0.533,0.067,0.467,0.027,0.584,0.037,0.528,0.042,0.488,0.046,0.468,0.033,0.517,0.05,0.45,0.018,0.572,0.024,0.513,0.028,0.473,0.03,0.452,0.022,0.5,0.033,0.433,0.109,0.693,0.146,0.655,0.168,0.628,0.183,0.615,0.133,0.667,0.2,0.6,0,0.547,0,0.485,0,0.442,0,0.419,0,0.467,0,0.4,""
